recipient_id,created_ts,receive_country,payout_method,account_masked
R00070,2026-02-01 11:32:51,UG,mtn_momo,***7029
R00071,2026-01-30 08:08:30,UG,airtel_money,***9990
R00072,2026-03-22 20:21:57,KE,mpesa,***8888
R00073,2026-01-18 09:30:32,UG,mtn_momo,***7488
R00074,2026-02-19 17:52:40,UG,airtel_money,***1077
R00075,2026-01-20 19:15:17,TZ,mpesa,***3145
R00076,2026-02-05 09:00:58,TZ,tigopesa,***3314
R00077,2026-03-19 10:51:27,KE,mpesa,***9208
R00078,2026-02-18 17:43:42,KE,bank,***9826
R00079,2026-01-10 07:46:30,KE,bank,***9298
R00080,2026-01-12 10:03:51,KE,mpesa,***2165
R00081,2026-01-15 13:35:55,KE,bank,***4894
R00082,2026-02-20 14:47:51,KE,mpesa,***7119
R00083,2026-01-11 17:48:45,KE,mpesa,***6100
R00084,2026-01-14 10:30:35,KE,bank,***8589
R00085,2026-02-09 18:30:33,GH,bank,***9365
R00086,2026-03-25 09:00:10,TZ,mpesa,***5815
R00087,2026-01-03 18:31:12,TZ,tigopesa,***4003
R00088,2026-01-14 06:25:38,TZ,mpesa,***3505
R00089,2026-03-02 14:11:59,TZ,mpesa,***3890
R00090,2026-02-24 18:01:54,TZ,mpesa,***2474
R00091,2026-03-19 07:54:51,UG,airtel_money,***7679
R00092,2026-01-17 14:26:06,UG,mtn_momo,***1259
R00093,2026-01-23 10:45:39,GH,mtn_momo,***1208
R00094,2026-02-27 09:38:38,KE,mpesa,***3274
R00095,2026-03-05 15:28:44,KE,mpesa,***9412
R00096,2026-03-25 14:15:39,TZ,mpesa,***6628
R00097,2026-03-12 13:47:33,TZ,tigopesa,***7157
R00098,2026-03-31 17:00:37,UG,airtel_money,***8532
R00099,2026-02-28 08:55:16,NG,bank,***4558
R00100,2026-01-06 11:25:29,NG,bank,***5357
R00101,2026-03-11 22:38:45,GH,bank,***8634
R00102,2026-03-21 09:14:20,GH,mtn_momo,***8552
R00103,2026-03-04 18:20:34,NG,bank,***1048
R00104,2026-03-01 18:31:16,NG,bank,***6926
R00105,2026-03-03 15:09:37,NG,bank,***7863
R00106,2026-01-08 08:49:39,UG,airtel_money,***2013
R00107,2026-01-17 09:38:46,UG,airtel_money,***4200
R00108,2026-03-23 07:09:57,GH,bank,***7918
R00109,2026-01-23 14:43:39,GH,mtn_momo,***3656
R00110,2026-01-14 15:06:18,GH,mtn_momo,***2313
R00111,2026-01-12 11:59:48,TZ,tigopesa,***3657
R00112,2026-01-06 18:33:03,NG,bank,***4181
R00113,2026-01-17 21:56:02,GH,mtn_momo,***8757
R00114,2026-01-08 11:17:20,UG,airtel_money,***4125
R00115,2026-01-23 07:55:18,TZ,tigopesa,***5391
R00116,2026-01-15 06:42:51,TZ,tigopesa,***8575
R00117,2026-01-19 19:12:32,TZ,tigopesa,***8662
R00118,2026-01-26 06:26:12,NG,bank,***6555
R00119,2026-03-02 22:21:35,NG,bank,***9257
R00120,2026-02-15 11:23:07,UG,mtn_momo,***7542
R00121,2026-02-09 09:13:53,KE,mpesa,***8947
R00122,2026-03-25 18:06:36,KE,mpesa,***5763
R00123,2026-03-11 22:51:54,GH,mtn_momo,***1913
R00124,2026-01-08 11:08:12,GH,bank,***3467
R00125,2026-01-05 16:21:53,KE,bank,***3951
R00126,2026-03-15 14:20:19,KE,mpesa,***1554
R00127,2026-03-20 19:13:08,NG,bank,***5390
R00128,2026-03-07 16:49:05,KE,mpesa,***7380
R00129,2026-01-06 17:33:05,TZ,tigopesa,***5563
R00130,2026-03-17 21:10:59,KE,bank,***7893
R00131,2026-01-31 22:55:36,TZ,tigopesa,***7465
R00132,2026-03-01 22:51:11,KE,bank,***4625
R00133,2026-01-20 20:08:42,KE,mpesa,***9182
R00134,2026-03-31 19:23:25,KE,bank,***1269
R00135,2026-01-04 18:03:07,GH,mtn_momo,***6501
R00136,2026-03-15 09:04:57,NG,bank,***2857
R00137,2026-01-16 17:37:41,UG,airtel_money,***6358
R00138,2026-01-23 16:25:00,GH,mtn_momo,***4727
R00139,2026-03-15 14:38:02,TZ,tigopesa,***5005
R00140,2026-01-24 10:51:57,KE,mpesa,***4100
R00141,2026-01-09 22:07:49,TZ,tigopesa,***5371
R00142,2026-01-18 17:35:37,NG,bank,***1575
R00143,2026-01-17 21:41:31,NG,bank,***7137
R00144,2026-03-14 13:40:54,GH,mtn_momo,***5409
R00145,2026-01-03 16:10:04,UG,airtel_money,***3080
R00146,2026-02-02 15:58:02,UG,mtn_momo,***4416
R00147,2026-01-14 21:04:09,NG,bank,***4894
R00148,2026-02-12 17:37:14,TZ,mpesa,***2592
R00149,2026-02-16 08:03:42,TZ,tigopesa,***3515
R00150,2026-02-06 10:22:40,KE,mpesa,***6397
R00151,2026-02-01 15:10:59,KE,bank,***6686
R00152,2026-02-08 08:26:54,UG,airtel_money,***1377
R00153,2026-01-17 20:06:04,UG,mtn_momo,***2898
R00154,2026-03-15 07:09:56,TZ,tigopesa,***2078
R00155,2026-02-20 22:33:51,TZ,tigopesa,***8825
R00156,2026-01-01 22:01:24,NG,bank,***3739
R00157,2026-02-27 07:57:50,NG,bank,***3196
R00158,2026-03-19 14:27:38,KE,bank,***6625
R00159,2026-03-05 20:02:42,NG,bank,***3140
R00160,2026-01-04 15:51:55,NG,bank,***1009
R00161,2026-03-11 17:01:11,TZ,tigopesa,***8341
R00162,2026-01-22 20:03:35,GH,bank,***5163
R00163,2026-01-19 16:10:08,GH,bank,***6534
R00164,2026-01-19 09:48:59,GH,mtn_momo,***9790
R00165,2026-02-21 12:54:31,TZ,mpesa,***6844
R00166,2026-01-03 21:09:49,TZ,tigopesa,***2872
R00167,2026-01-21 20:46:31,GH,bank,***2599
R00168,2026-01-29 11:11:18,GH,bank,***4976
R00169,2026-02-25 15:34:35,NG,bank,***7030
R00170,2026-03-29 10:27:29,NG,bank,***9422
R00171,2026-03-15 21:02:21,NG,bank,***6065
R00172,2026-02-05 16:14:43,KE,mpesa,***9609
R00173,2026-03-04 10:14:35,KE,mpesa,***9348
R00174,2026-02-02 14:36:50,NG,bank,***9221
R00175,2026-03-10 14:48:38,TZ,tigopesa,***3447
R00176,2026-01-13 18:23:35,TZ,mpesa,***8761
R00177,2026-02-12 20:54:57,NG,bank,***6110
R00178,2026-03-31 16:20:02,NG,bank,***2028
R00179,2026-01-14 17:43:51,GH,bank,***6944
R00180,2026-03-15 09:01:56,KE,mpesa,***9244
R00181,2026-01-16 09:14:04,KE,mpesa,***2217
R00182,2026-02-18 19:53:59,KE,bank,***3137
R00183,2026-03-11 19:33:58,GH,bank,***7557
R00184,2026-02-16 07:07:17,KE,mpesa,***3449
R00185,2026-03-12 17:03:01,NG,bank,***5851
R00186,2026-01-23 09:39:34,NG,bank,***4887
R00187,2026-01-12 11:14:45,NG,bank,***8235
R00188,2026-03-29 22:49:02,TZ,tigopesa,***3109
R00189,2026-03-25 19:17:33,TZ,tigopesa,***7078
R00190,2026-02-03 16:10:04,UG,mtn_momo,***1807
R00191,2026-01-11 06:03:43,GH,bank,***9897
R00192,2026-02-03 16:27:01,NG,bank,***8459
R00193,2026-03-30 21:57:06,NG,bank,***7287
R00194,2026-01-14 15:00:39,NG,bank,***4666
R00195,2026-02-17 06:19:41,GH,bank,***3246
R00196,2026-03-01 20:36:40,GH,mtn_momo,***6412
R00197,2026-02-24 10:54:17,GH,mtn_momo,***9132
R00198,2026-02-11 06:22:43,KE,mpesa,***4264
R00199,2026-01-24 14:53:44,KE,bank,***5376
R00200,2026-03-18 09:35:04,KE,bank,***7013
R00201,2026-03-30 22:54:01,TZ,mpesa,***6910
R00202,2026-03-26 17:12:26,GH,mtn_momo,***8153
R00203,2026-01-21 11:27:37,GH,mtn_momo,***1948
R00204,2026-03-29 21:58:25,UG,mtn_momo,***6947
R00205,2026-03-20 07:29:26,KE,bank,***5241
R00206,2026-01-26 13:38:11,KE,bank,***7138
R00207,2026-03-28 10:48:46,KE,bank,***7135
R00208,2026-02-23 20:02:13,NG,bank,***4718
R00209,2026-03-29 10:33:59,KE,mpesa,***8892
R00210,2026-02-04 20:02:01,KE,bank,***4617
R00211,2026-01-02 18:33:37,TZ,mpesa,***1672
R00212,2026-03-02 12:08:42,TZ,tigopesa,***7399
R00213,2026-02-15 12:08:26,TZ,tigopesa,***3473
R00214,2026-03-15 09:24:11,TZ,tigopesa,***6025
R00215,2026-02-20 13:32:06,GH,bank,***5511
R00216,2026-01-14 06:33:58,NG,bank,***9943
R00217,2026-02-07 21:56:10,TZ,tigopesa,***4286
R00218,2026-02-09 17:54:55,TZ,tigopesa,***9382
R00219,2026-02-06 19:07:33,TZ,tigopesa,***2987
R00220,2026-03-22 07:02:29,UG,mtn_momo,***1570
R00221,2026-02-01 09:21:35,NG,bank,***7992
R00222,2026-01-01 08:58:37,UG,airtel_money,***6170
R00223,2026-02-08 14:18:26,TZ,mpesa,***2871
R00224,2026-01-22 07:58:16,TZ,tigopesa,***6886
R00225,2026-02-25 15:39:31,TZ,tigopesa,***9510
R00226,2026-03-18 21:33:59,TZ,tigopesa,***5088
R00227,2026-01-25 07:38:17,TZ,tigopesa,***3696
R00228,2026-02-20 07:22:32,TZ,tigopesa,***5791
R00229,2026-02-10 16:45:41,GH,mtn_momo,***9272
R00230,2026-03-18 14:50:21,GH,bank,***4829
R00231,2026-01-26 08:51:45,TZ,tigopesa,***7371
R00232,2026-01-19 09:52:59,TZ,mpesa,***7824
R00233,2026-03-26 15:33:28,TZ,tigopesa,***9485
R00234,2026-01-13 17:22:04,UG,airtel_money,***8308
R00235,2026-02-24 22:16:02,NG,bank,***2387
R00236,2026-01-02 15:32:22,NG,bank,***2764
R00237,2026-03-20 09:43:24,NG,bank,***9461
R00238,2026-01-26 18:03:05,NG,bank,***3325
R00239,2026-01-13 09:53:41,TZ,mpesa,***5888
R00240,2026-02-28 12:17:12,TZ,tigopesa,***3967
R00241,2026-03-30 06:27:23,GH,mtn_momo,***5626
R00242,2026-01-01 11:47:45,NG,bank,***9751
R00243,2026-03-30 13:09:57,TZ,mpesa,***4661
R00244,2026-01-17 14:04:38,TZ,mpesa,***3577
R00245,2026-01-06 12:31:47,TZ,mpesa,***5432
R00246,2026-02-19 08:51:46,GH,mtn_momo,***7410
R00247,2026-03-19 15:03:39,UG,mtn_momo,***2718
R00248,2026-01-29 21:18:12,UG,mtn_momo,***5393
R00249,2026-02-08 22:01:10,NG,bank,***5728
R00250,2026-03-13 17:59:46,UG,mtn_momo,***4311
R00251,2026-03-27 07:18:39,GH,mtn_momo,***9139
R00252,2026-01-25 22:30:15,KE,bank,***6289
R00253,2026-02-18 09:46:21,GH,mtn_momo,***7568
R00254,2026-02-28 22:43:44,GH,mtn_momo,***4581
R00255,2026-02-28 10:08:45,KE,mpesa,***9255
R00256,2026-03-17 21:51:13,KE,mpesa,***9492
R00257,2026-02-15 15:31:40,KE,bank,***7227
R00258,2026-01-26 15:03:33,KE,mpesa,***1914
R00259,2026-03-09 06:06:36,TZ,tigopesa,***1484
R00260,2026-03-06 15:22:55,UG,airtel_money,***7014
R00261,2026-01-01 17:15:08,UG,mtn_momo,***5247
R00262,2026-03-01 20:07:52,GH,mtn_momo,***7835
R00263,2026-03-29 14:36:16,GH,mtn_momo,***8340
R00264,2026-01-11 19:38:55,NG,bank,***1982
R00265,2026-01-09 17:32:51,NG,bank,***9185
R00266,2026-02-05 20:42:28,NG,bank,***6235
R00267,2026-02-11 07:42:54,KE,bank,***4503
R00268,2026-02-09 09:10:09,TZ,mpesa,***8287
R00269,2026-03-17 13:45:53,TZ,mpesa,***2320
R00270,2026-03-03 16:37:53,UG,airtel_money,***3861
R00271,2026-03-24 14:06:32,KE,bank,***2547
R00272,2026-03-15 18:24:03,KE,bank,***9393
R00273,2026-03-21 18:22:26,KE,bank,***6514
R00274,2026-03-10 20:49:42,UG,airtel_money,***2853
R00275,2026-03-09 12:37:58,UG,mtn_momo,***4487
R00276,2026-02-16 15:25:55,UG,airtel_money,***9332
R00277,2026-02-22 11:44:47,UG,airtel_money,***1200
R00278,2026-01-29 17:45:58,GH,bank,***6837
R00279,2026-03-29 12:13:54,GH,bank,***4105
R00280,2026-01-31 08:20:21,TZ,tigopesa,***8033
R00281,2026-03-03 06:37:52,TZ,mpesa,***9744
R00282,2026-03-14 12:43:22,TZ,tigopesa,***1327
R00283,2026-01-26 11:58:12,NG,bank,***7015
R00284,2026-03-04 22:59:23,NG,bank,***4730
R00285,2026-02-07 08:00:18,KE,mpesa,***7096
R00286,2026-01-11 21:09:04,TZ,tigopesa,***7851
R00287,2026-01-28 11:53:47,TZ,mpesa,***9372
R00288,2026-01-29 19:00:57,NG,bank,***7985
R00289,2026-02-23 07:04:31,NG,bank,***6787
R00290,2026-02-18 08:09:49,GH,mtn_momo,***9342
R00291,2026-01-26 13:21:13,GH,bank,***4713
R00292,2026-02-15 15:17:01,UG,airtel_money,***1867
R00293,2026-02-02 09:02:58,NG,bank,***9260
R00294,2026-03-27 10:53:05,NG,bank,***4962
R00295,2026-01-03 22:18:16,NG,bank,***5775
R00296,2026-02-05 12:08:03,GH,mtn_momo,***6149
R00297,2026-01-04 12:38:28,GH,mtn_momo,***9829
R00298,2026-02-25 22:02:09,TZ,mpesa,***8679
R00299,2026-02-23 22:59:44,UG,mtn_momo,***9012
R00300,2026-01-17 14:36:28,TZ,tigopesa,***2949
R00301,2026-02-20 16:58:22,KE,mpesa,***3443
R00302,2026-02-28 09:29:19,TZ,tigopesa,***4319
R00303,2026-03-28 11:29:12,UG,mtn_momo,***1140
R00304,2026-01-20 10:34:29,UG,mtn_momo,***3519
R00305,2026-02-14 06:21:51,KE,bank,***1463
R00306,2026-01-15 08:46:02,UG,airtel_money,***5372
R00307,2026-03-11 12:09:13,UG,mtn_momo,***7218
R00308,2026-02-23 20:36:16,UG,airtel_money,***2905
R00309,2026-02-16 18:36:52,UG,airtel_money,***2345
R00310,2026-01-12 08:44:54,GH,mtn_momo,***7228
R00311,2026-03-15 19:37:28,TZ,mpesa,***3224
R00312,2026-03-18 20:17:30,TZ,mpesa,***9360
R00313,2026-01-31 21:24:11,TZ,mpesa,***9490
R00314,2026-02-09 11:14:33,NG,bank,***7331
R00315,2026-03-22 19:17:45,KE,mpesa,***5183
R00316,2026-03-10 06:56:15,TZ,mpesa,***6011
R00317,2026-03-01 13:23:40,TZ,mpesa,***1757
R00318,2026-03-04 20:02:02,TZ,tigopesa,***2003
R00319,2026-03-15 21:28:35,TZ,tigopesa,***4377
R00320,2026-01-19 07:48:38,TZ,tigopesa,***7291
R00321,2026-01-28 07:19:18,GH,bank,***6115
R00322,2026-01-29 09:03:16,NG,bank,***1793
R00323,2026-01-28 20:42:41,KE,bank,***5084
R00324,2026-03-28 17:22:35,NG,bank,***7728
R00325,2026-03-01 07:58:59,NG,bank,***2616
R00326,2026-01-01 08:45:12,NG,bank,***2577
R00327,2026-03-10 15:15:12,NG,bank,***5984
R00328,2026-02-15 15:34:36,NG,bank,***9587
R00329,2026-02-02 17:37:33,NG,bank,***4375
R00330,2026-03-26 12:22:20,UG,airtel_money,***5926
R00331,2026-03-29 19:40:13,KE,mpesa,***8541
R00332,2026-03-14 15:37:40,KE,bank,***5523
R00333,2026-03-26 07:08:16,GH,mtn_momo,***2822
R00334,2026-03-07 07:05:05,GH,mtn_momo,***5767
R00335,2026-01-11 19:26:19,GH,bank,***3721
R00336,2026-03-20 10:37:13,UG,mtn_momo,***4314
R00337,2026-01-26 21:37:09,UG,mtn_momo,***1268
R00338,2026-02-01 11:44:44,UG,airtel_money,***7124
R00339,2026-03-09 09:25:44,NG,bank,***9476
R00340,2026-01-29 06:25:01,NG,bank,***8221
R00341,2026-03-15 10:41:11,NG,bank,***6880
R00342,2026-03-15 20:19:51,GH,mtn_momo,***9285
R00343,2026-02-06 13:55:58,GH,bank,***9592
R00344,2026-01-01 13:59:36,GH,mtn_momo,***9521
R00345,2026-01-25 06:30:06,TZ,tigopesa,***1047
R00346,2026-01-20 09:05:56,TZ,tigopesa,***2778
R00347,2026-03-28 08:01:01,TZ,tigopesa,***6268
R00348,2026-02-21 22:59:35,GH,bank,***2986
R00349,2026-03-26 18:39:23,GH,bank,***2516
R00350,2026-02-05 08:05:43,NG,bank,***2093
R00351,2026-01-21 11:12:10,NG,bank,***1703
R00352,2026-02-24 19:14:09,NG,bank,***4835
R00353,2026-02-25 18:29:54,NG,bank,***5015
R00354,2026-01-14 15:45:55,NG,bank,***1473
R00355,2026-01-28 19:26:09,UG,airtel_money,***7977
R00356,2026-03-15 10:50:45,UG,airtel_money,***2027
R00357,2026-01-04 14:30:46,NG,bank,***6676
R00358,2026-01-29 16:58:03,TZ,tigopesa,***9381
R00359,2026-03-06 12:28:25,TZ,tigopesa,***5338
R00360,2026-02-04 11:20:34,GH,mtn_momo,***7822
R00361,2026-02-27 15:38:26,NG,bank,***2906
R00362,2026-03-01 13:34:53,NG,bank,***2691
R00363,2026-01-09 15:16:45,UG,mtn_momo,***1911
R00364,2026-03-28 13:23:08,UG,airtel_money,***4094
R00365,2026-01-10 08:53:05,UG,airtel_money,***9771
R00366,2026-01-04 15:16:04,NG,bank,***7672
R00367,2026-03-08 06:33:05,KE,mpesa,***1952
R00368,2026-03-14 16:07:12,NG,bank,***6198
R00369,2026-01-19 09:04:37,GH,bank,***8796
R00370,2026-01-10 14:15:00,UG,mtn_momo,***8530
R00371,2026-03-27 11:19:09,GH,mtn_momo,***9787
R00372,2026-03-17 10:10:21,GH,bank,***3159
R00373,2026-02-18 07:52:50,TZ,mpesa,***5812
R00374,2026-02-02 08:43:39,GH,bank,***6040
R00375,2026-01-22 13:55:30,TZ,tigopesa,***5078
R00376,2026-01-10 09:46:19,NG,bank,***6446
R00377,2026-01-26 13:11:48,UG,airtel_money,***9993
R00378,2026-03-11 16:26:23,GH,bank,***3603
R00379,2026-01-21 08:12:54,UG,airtel_money,***5318
R00380,2026-01-13 10:02:39,TZ,tigopesa,***4154
R00381,2026-02-13 12:14:20,KE,mpesa,***7774
R00382,2026-01-08 08:20:47,TZ,mpesa,***7028
R00383,2026-03-15 22:34:18,NG,bank,***4252
R00384,2026-01-22 16:04:03,NG,bank,***2002
R00385,2026-02-25 08:32:50,TZ,mpesa,***7027
R00386,2026-02-04 08:52:18,UG,airtel_money,***5569
R00387,2026-01-08 10:36:45,KE,bank,***7036
R00388,2026-03-20 17:48:21,GH,mtn_momo,***5819
R00389,2026-03-26 13:27:01,NG,bank,***6077
R00390,2026-01-14 06:43:58,KE,mpesa,***9734
R00391,2026-03-22 06:36:01,GH,mtn_momo,***2131
R00392,2026-02-24 10:08:03,GH,bank,***5859
R00393,2026-02-03 10:19:16,GH,bank,***8887
R00394,2026-03-11 08:46:49,UG,airtel_money,***1792
R00395,2026-03-05 10:15:08,UG,airtel_money,***7243
R00396,2026-01-27 17:21:19,TZ,mpesa,***8951
R00397,2026-03-11 15:12:03,TZ,mpesa,***4863
R00398,2026-02-08 10:11:44,UG,mtn_momo,***3751
R00399,2026-02-07 07:09:03,UG,airtel_money,***6145
R00400,2026-01-20 22:44:01,UG,airtel_money,***3842
R00401,2026-01-17 18:51:06,KE,mpesa,***1500
R00402,2026-01-20 18:59:44,UG,airtel_money,***6693
R00403,2026-02-14 06:35:12,KE,mpesa,***4458
R00404,2026-03-13 18:40:12,KE,mpesa,***5540
R00405,2026-03-27 17:44:35,GH,bank,***2344
R00406,2026-03-04 08:26:23,NG,bank,***7132
R00407,2026-01-29 12:08:50,GH,bank,***5317
R00408,2026-02-20 08:56:57,GH,mtn_momo,***2570
R00409,2026-03-03 20:14:53,GH,mtn_momo,***9021
R00410,2026-03-29 15:33:25,NG,bank,***7956
R00411,2026-01-18 07:52:33,UG,airtel_money,***4729
R00412,2026-01-14 21:52:34,GH,mtn_momo,***6503
R00413,2026-03-03 15:31:40,GH,bank,***2067
R00414,2026-03-31 12:10:12,KE,mpesa,***2869
R00415,2026-01-31 13:50:16,GH,bank,***7372
R00416,2026-01-02 20:08:00,GH,bank,***1444
R00417,2026-01-31 16:00:26,KE,mpesa,***8117
R00418,2026-03-30 09:03:43,KE,bank,***9036
R00419,2026-01-29 07:18:16,KE,bank,***9013
R00420,2026-02-13 15:31:34,NG,bank,***6733
R00421,2026-03-29 18:00:45,TZ,tigopesa,***6941
R00422,2026-03-13 18:22:10,GH,mtn_momo,***2277
R00423,2026-02-04 08:28:07,GH,bank,***6329
R00424,2026-03-29 06:26:08,UG,mtn_momo,***8016
R00425,2026-02-18 22:29:33,UG,mtn_momo,***9280
R00426,2026-01-02 15:09:40,NG,bank,***2107
R00427,2026-03-23 08:54:51,NG,bank,***2581
R00428,2026-03-07 09:58:22,NG,bank,***6292
R00429,2026-02-12 07:16:47,TZ,mpesa,***9479
R00430,2026-03-23 08:11:54,NG,bank,***8514
R00431,2026-03-30 13:36:54,NG,bank,***1926
R00432,2026-03-02 22:39:27,NG,bank,***4093
R00433,2026-01-23 13:45:41,KE,bank,***7756
R00434,2026-01-09 22:14:33,NG,bank,***8686
R00435,2026-02-24 06:39:58,GH,bank,***6993
R00436,2026-02-04 16:47:22,KE,bank,***4322
R00437,2026-03-21 20:21:53,GH,mtn_momo,***4109
R00438,2026-02-04 21:16:34,TZ,tigopesa,***4276
R00439,2026-03-02 16:14:05,TZ,mpesa,***1649
R00440,2026-02-22 14:59:37,TZ,tigopesa,***9961
R00441,2026-03-23 12:23:00,NG,bank,***4101
R00442,2026-03-04 07:45:29,UG,airtel_money,***3597
R00443,2026-01-09 09:19:34,NG,bank,***9774
R00444,2026-03-26 21:48:15,NG,bank,***1414
R00445,2026-03-13 18:03:02,GH,mtn_momo,***2953
R00446,2026-01-12 18:38:31,GH,bank,***7674
R00447,2026-02-07 10:16:18,GH,mtn_momo,***6901
R00448,2026-03-08 11:09:14,TZ,mpesa,***8911
R00449,2026-01-15 09:20:05,UG,airtel_money,***1081
R00450,2026-03-27 19:17:46,NG,bank,***6664
R00451,2026-01-06 10:13:41,GH,mtn_momo,***2186
R00452,2026-03-30 09:31:31,GH,bank,***3828
R00453,2026-03-27 14:51:21,GH,bank,***8531
R00454,2026-01-22 16:01:31,UG,airtel_money,***8042
R00455,2026-02-18 08:30:34,UG,airtel_money,***7147
R00456,2026-01-01 16:34:55,UG,airtel_money,***4446
R00457,2026-01-05 14:14:22,GH,bank,***3181
R00458,2026-03-13 21:41:43,GH,mtn_momo,***2984
R00459,2026-03-05 07:55:40,TZ,mpesa,***2686
R00460,2026-03-11 13:51:38,TZ,tigopesa,***2545
R00461,2026-01-01 21:31:40,TZ,mpesa,***5144
R00462,2026-01-08 15:15:28,KE,bank,***1153
R00463,2026-01-14 14:32:45,KE,bank,***1796
R00464,2026-02-07 15:47:42,KE,mpesa,***6716
R00465,2026-02-17 13:14:12,KE,mpesa,***9599
R00466,2026-01-21 07:39:00,UG,mtn_momo,***3591
R00467,2026-01-26 16:16:12,UG,airtel_money,***1795
R00468,2026-02-15 07:53:34,KE,bank,***9807
R00469,2026-03-22 15:34:09,NG,bank,***3717
R00470,2026-02-03 20:07:33,GH,bank,***1659
R00471,2026-03-07 11:14:19,TZ,tigopesa,***3449
R00472,2026-01-05 15:34:44,UG,mtn_momo,***5684
R00473,2026-01-24 15:27:35,UG,mtn_momo,***6365
R00474,2026-01-27 21:19:56,KE,mpesa,***8393
R00475,2026-01-15 07:30:42,KE,bank,***5845
R00476,2026-03-25 18:09:26,TZ,tigopesa,***1425
R00477,2026-02-11 17:15:39,TZ,tigopesa,***8671
R00478,2026-03-23 20:41:02,TZ,tigopesa,***9997
R00479,2026-02-22 11:36:25,GH,mtn_momo,***7508
R00480,2026-03-23 16:50:57,TZ,mpesa,***2875
R00481,2026-02-22 10:02:00,GH,bank,***4976
