transaction_id,user_id,recipient_id,created_ts,send_amount,send_currency,receive_amount,receive_currency,fx_rate,fee_amount,payment_method,payout_method,device_id,ip_address,status,decline_reason
T0000823,U00042,R00095,2026-01-01 10:29:40,253.66,GBP,42034.65,KES,165.7143,2.54,debit_card,mpesa,DV00042,GB.248.178.172,completed,
T0007450,U00350,R00716,2026-01-01 10:45:42,53.98,GBP,1032.55,GHS,19.1296,0.54,apple_pay,bank,DV00350,GB.27.121.183,completed,
T0001079,U00054,R00120,2026-01-01 10:50:53,107.12,USD,398723.4,UGX,3722.0856,1.07,apple_pay,mtn_momo,DV00054,US.53.238.23,completed,
T0009635,U00441,R00904,2026-01-01 10:58:16,475.65,GBP,9152.22,GHS,19.2415,4.76,bank_transfer,bank,DV00441,GB.10.82.18,completed,
T0006808,U00320,R00653,2026-01-01 11:13:36,75.66,GBP,145715.2,NGN,1925.9458,0.76,bank_transfer,bank,DV00320,GB.215.114.138,completed,
T0007343,U00346,R00705,2026-01-01 11:16:11,180.08,USD,2672.69,GHS,14.8413,1.8,debit_card,mtn_momo,DV00346,US.247.103.97,completed,
T0011587,U00530,R01073,2026-01-01 11:25:17,133.59,EUR,217785.93,NGN,1630.3141,1.34,debit_card,bank,DV00530,DE.176.128.133,completed,
T0008124,U00377,R00776,2026-01-01 11:38:05,140.79,USD,18195.88,KES,129.2408,1.41,bank_transfer,bank,DV00377,US.236.4.175,completed,
T0015419,U00705,R01418,2026-01-01 11:38:46,193.34,USD,500866.31,TZS,2590.6474,1.93,bank_transfer,tigopesa,DV00705,US.72.250.213,completed,
T0003774,U00177,R00372,2026-01-01 12:40:05,434.78,USD,6590.0,GHS,15.1571,4.35,bank_transfer,bank,DV00177,US.52.142.73,completed,
T0015699,U00718,R01445,2026-01-01 13:11:53,439.65,GBP,8270.91,GHS,18.8125,4.4,apple_pay,mtn_momo,DV00718,GB.155.234.101,completed,
T0015693,U00718,R01445,2026-01-01 13:28:46,353.26,GBP,6729.83,GHS,19.0508,3.53,bank_transfer,mtn_momo,DV00718,GB.38.8.202,completed,
T0013250,U00600,R01214,2026-01-01 13:47:13,405.26,USD,6133.53,GHS,15.1349,4.05,apple_pay,mtn_momo,DV00600,US.139.142.122,completed,
T0003650,U00170,R00355,2026-01-01 13:47:59,397.56,USD,1484728.83,UGX,3734.6353,3.98,bank_transfer,airtel_money,DV00170,US.54.207.61,completed,
T0004613,U00217,R00448,2026-01-01 13:51:32,269.97,USD,701674.39,TZS,2599.1143,2.7,debit_card,mpesa,DV00217,US.146.42.199,completed,
T0006449,U00304,R00618,2026-01-01 13:59:42,53.19,GBP,8697.98,KES,163.5118,0.53,debit_card,mpesa,DV00304,GB.81.125.213,completed,
T0010347,U00471,R00968,2026-01-01 14:13:15,137.84,GBP,655024.64,UGX,4752.2166,1.38,bank_transfer,airtel_money,DV00471,GB.82.182.142,completed,
T0006812,U00320,R00653,2026-01-01 14:32:23,69.57,GBP,131144.51,NGN,1885.0182,0.7,google_pay,bank,DV00320,GB.230.182.122,completed,
T0003776,U00177,R00371,2026-01-01 14:44:39,514.59,USD,7666.73,GHS,14.8986,5.15,bank_transfer,mtn_momo,DV00177,US.156.73.174,completed,
T0003953,U00186,R00389,2026-01-01 14:55:55,251.63,USD,377092.7,NGN,1498.5868,2.52,bank_transfer,bank,DV00186,US.4.56.65,completed,
T0016669,U00760,R01535,2026-01-01 15:08:42,145.78,USD,540459.47,UGX,3707.3926,1.46,bank_transfer,airtel_money,DV00760,US.85.108.106,completed,
T0008530,U00393,R00815,2026-01-01 15:14:37,111.15,USD,14329.38,KES,128.9137,1.11,debit_card,mpesa,DV00393,US.178.32.14,completed,
T0011934,U00545,R01102,2026-01-01 15:14:42,421.39,USD,630370.48,NGN,1495.934,4.21,debit_card,bank,DV00545,US.81.93.183,completed,
T0004094,U00190,R00397,2026-01-01 15:20:58,193.5,GBP,640023.71,TZS,3307.5517,1.94,debit_card,mpesa,DV00190,GB.72.119.80,completed,
T0004622,U00217,R00449,2026-01-01 15:23:59,301.1,USD,1117122.13,UGX,3710.1612,3.01,apple_pay,airtel_money,DV00217,US.127.206.246,completed,
T0008453,U00390,R00808,2026-01-01 15:29:05,210.48,GBP,4012.91,GHS,19.0656,2.1,debit_card,bank,DV00390,GB.199.65.240,completed,
T0015843,U00726,R01463,2026-01-01 15:44:36,127.1,GBP,244526.11,NGN,1923.9297,1.27,bank_transfer,bank,DV00726,GB.91.106.247,completed,
T0014349,U00652,R01306,2026-01-01 15:47:29,106.76,GBP,2032.82,GHS,19.0415,1.07,google_pay,bank,DV00652,GB.23.117.144,completed,
T0010866,U00494,R01011,2026-01-01 16:16:42,105.2,EUR,290755.11,TZS,2763.8415,1.05,bank_transfer,mpesa,DV00494,DE.135.141.33,completed,
T0015739,U00721,R01451,2026-01-01 16:17:51,131.35,GBP,430776.76,TZS,3279.581,1.31,bank_transfer,tigopesa,DV00721,GB.220.187.86,completed,
T0011804,U00540,R01090,2026-01-01 16:38:37,194.13,GBP,31898.37,KES,164.3155,1.94,google_pay,mpesa,DV00540,GB.188.138.14,completed,
T0005637,U00265,R00540,2026-01-01 16:41:34,423.1,GBP,1970238.04,UGX,4656.6303,4.23,debit_card,airtel_money,DV00265,GB.71.70.69,completed,
T0017214,U00785,R01584,2026-01-01 16:50:34,276.69,GBP,45984.71,KES,166.1964,2.77,bank_transfer,bank,DV00785,GB.145.205.197,completed,
T0006047,U00285,R00580,2026-01-01 16:57:46,204.65,GBP,681713.35,TZS,3331.1644,2.05,debit_card,mpesa,DV00285,GB.1.96.38,completed,
T0001536,U00076,R00161,2026-01-01 17:05:02,367.29,USD,959205.92,TZS,2611.5824,3.67,bank_transfer,tigopesa,DV00076,US.51.152.125,completed,
T0010869,U00494,R01010,2026-01-01 17:13:50,109.27,EUR,431832.2,UGX,3951.822,1.09,apple_pay,airtel_money,DV00494,DE.133.225.81,completed,
T0010228,U00467,R00963,2026-01-01 17:22:58,84.99,GBP,161157.65,NGN,1896.1184,0.85,debit_card,bank,DV00467,GB.125.103.198,completed,
T0004793,U00223,R00457,2026-01-01 17:35:58,143.69,GBP,2726.46,GHS,18.9741,1.44,apple_pay,bank,DV00223,GB.217.133.245,completed,
T0015320,U00701,R01412,2026-01-01 17:42:35,66.66,GBP,223063.03,TZS,3346.2411,0.67,debit_card,tigopesa,DV00701,GB.96.105.222,completed,
T0003933,U00184,R00386,2026-01-01 18:12:37,155.66,GBP,738257.98,UGX,4742.8658,1.56,debit_card,airtel_money,DV00184,GB.213.254.69,completed,
T0015076,U00690,R01388,2026-01-01 18:48:01,181.19,USD,23310.83,KES,128.6544,1.81,apple_pay,bank,DV00690,US.114.117.62,completed,
T0017089,U00781,R01578,2026-01-01 18:48:36,175.51,GBP,28886.08,KES,164.5853,1.76,bank_transfer,mpesa,DV00781,GB.47.253.97,completed,
T0004821,U00224,R00460,2026-01-01 18:54:52,96.4,GBP,316765.27,TZS,3285.8967,0.96,google_pay,tigopesa,DV00224,GB.128.23.163,completed,
T0001727,U00086,R00179,2026-01-01 19:28:02,98.66,USD,1478.51,GHS,14.9856,0.99,bank_transfer,bank,DV00086,US.221.188.10,completed,
T0006641,U00312,R00635,2026-01-01 19:35:06,141.76,EUR,237013.4,NGN,1671.9674,1.42,bank_transfer,bank,DV00312,DE.224.134.231,completed,
T0000674,U00036,R00083,2026-01-01 19:44:20,183.25,USD,23897.24,KES,130.407,1.83,google_pay,mpesa,DV00036,US.131.227.217,completed,
T0003113,U00148,R00307,2026-01-01 19:57:54,89.82,USD,334576.28,UGX,3725.0049,0.9,debit_card,mtn_momo,DV00148,US.158.83.141,completed,
T0012450,U00565,R01139,2026-01-01 20:03:56,274.81,GBP,45646.73,KES,166.1002,2.75,google_pay,bank,DV00565,GB.9.124.123,completed,
T0017418,U00794,R01604,2026-01-01 20:07:40,229.12,EUR,3834.82,GHS,16.7372,2.29,bank_transfer,bank,DV00794,DE.100.214.112,completed,
T0017058,U00779,R01575,2026-01-01 20:10:58,157.02,USD,404064.31,TZS,2573.261,1.57,debit_card,tigopesa,DV00779,US.112.185.100,completed,
T0007780,U00363,R00741,2026-01-01 20:11:34,97.89,USD,1458.33,GHS,14.8982,0.98,bank_transfer,bank,DV00363,US.10.115.248,completed,
T0006341,U00300,R00607,2026-01-01 20:19:23,229.27,EUR,639660.39,TZS,2790.0218,2.29,bank_transfer,tigopesa,DV00300,DE.232.39.173,completed,
T0016463,U00750,R01513,2026-01-01 20:28:02,172.28,EUR,2831.08,GHS,16.433,1.72,apple_pay,mtn_momo,DV00750,DE.174.195.144,completed,
T0005522,U00261,R00529,2026-01-01 20:32:48,220.08,GBP,1034655.11,UGX,4701.2696,2.2,google_pay,mtn_momo,DV00261,GB.10.206.99,completed,
T0013789,U00626,R01258,2026-01-01 20:33:00,227.05,USD,3433.69,GHS,15.1232,2.27,debit_card,mtn_momo,DV00626,US.184.181.188,completed,
T0016122,U00737,R01487,2026-01-01 21:14:47,347.43,GBP,1634068.03,UGX,4703.3581,3.47,bank_transfer,mtn_momo,DV00737,GB.122.3.45,completed,
T0007211,U00339,R00692,2026-01-01 21:18:58,320.74,GBP,6054.22,GHS,18.8755,3.21,debit_card,bank,DV00339,GB.213.14.145,completed,
T0014787,U00677,R01361,2026-01-01 21:29:12,151.12,USD,556369.33,UGX,3681.6611,1.51,debit_card,airtel_money,DV00677,US.39.143.141,completed,
T0012553,U00570,R01146,2026-01-01 21:37:27,194.83,GBP,920320.99,UGX,4723.7848,1.95,debit_card,airtel_money,DV00570,GB.66.169.109,completed,
T0012596,U00571,R01149,2026-01-01 21:42:28,201.3,GBP,950401.7,UGX,4721.3081,2.01,bank_transfer,airtel_money,DV00571,GB.200.170.70,completed,
T0014512,U00662,R01327,2026-01-01 22:03:52,183.02,USD,482340.56,TZS,2635.4595,1.83,debit_card,mpesa,DV00662,US.220.191.82,completed,
T0001762,U00087,R00180,2026-01-01 22:21:03,311.32,USD,40059.81,KES,128.6791,3.11,debit_card,mpesa,DV00087,US.168.90.203,completed,
T0013570,U00616,R01242,2026-01-01 22:21:44,119.07,GBP,225495.89,NGN,1893.8105,1.19,debit_card,bank,DV00616,GB.102.216.25,failed,payout_provider_error
T0012711,U00576,R01161,2026-01-01 22:28:34,43.39,GBP,81477.89,NGN,1877.8831,0.5,debit_card,bank,DV00576,GB.137.135.198,completed,
T0011390,U00520,R01059,2026-01-01 22:33:56,188.21,GBP,359368.69,NGN,1909.4433,1.88,bank_transfer,bank,DV00520,GB.63.165.34,completed,
T0010091,U00462,R00951,2026-01-01 22:34:02,406.29,GBP,67786.28,KES,166.8417,4.06,bank_transfer,mpesa,DV00462,GB.208.128.162,completed,
T0012133,U00553,R01116,2026-01-01 22:45:45,110.35,GBP,210608.72,NGN,1908.5233,1.1,debit_card,bank,DV00553,GB.204.229.137,completed,
T0001485,U00074,R00159,2026-01-01 22:55:19,200.33,GBP,382677.07,NGN,1910.2713,2.0,bank_transfer,bank,DV00074,GB.168.229.22,completed,
T0013384,U00605,R01224,2026-01-02 06:11:39,395.26,EUR,1565828.24,UGX,3961.4877,3.95,bank_transfer,airtel_money,DV00605,DE.230.4.159,failed,insufficient_funds
T0007910,U00368,R00753,2026-01-02 06:14:42,101.1,GBP,334013.01,TZS,3303.6788,1.01,bank_transfer,mpesa,DV00368,GB.178.42.247,completed,
T0005925,U00280,R00568,2026-01-02 06:31:53,150.64,USD,396411.78,TZS,2631.5365,1.51,bank_transfer,tigopesa,DV00280,US.160.137.110,completed,
T0014675,U00672,R01347,2026-01-02 06:38:19,240.23,EUR,397713.14,NGN,1655.5257,2.4,debit_card,bank,DV00672,DE.179.42.130,completed,
T0013923,U00632,R01269,2026-01-02 06:39:31,168.86,USD,2504.01,GHS,14.8293,1.69,debit_card,bank,DV00632,US.160.168.184,completed,
T0016571,U00754,R01524,2026-01-02 06:43:36,199.39,GBP,667769.64,TZS,3349.1224,1.99,bank_transfer,tigopesa,DV00754,GB.147.236.193,completed,
T0011627,U00532,R01077,2026-01-02 06:50:11,251.41,GBP,4738.34,GHS,18.8469,2.51,debit_card,mtn_momo,DV00532,GB.55.99.113,completed,
T0008001,U00372,R00763,2026-01-02 06:50:46,171.26,EUR,284374.8,NGN,1660.5047,1.71,bank_transfer,bank,DV00372,DE.116.226.50,completed,
T0013364,U00604,R01222,2026-01-02 06:53:53,103.34,GBP,478524.48,UGX,4630.6495,1.03,debit_card,airtel_money,DV00604,GB.158.167.29,completed,
T0005806,U00275,R00556,2026-01-02 06:54:57,348.36,USD,902654.95,TZS,2591.1392,3.48,bank_transfer,tigopesa,DV00275,US.202.136.231,completed,
T0008026,U00372,R00762,2026-01-02 07:04:31,159.78,EUR,262610.53,NGN,1643.587,1.6,debit_card,bank,DV00372,DE.40.241.173,completed,
T0006569,U00309,R00627,2026-01-02 07:14:17,166.47,GBP,793327.3,UGX,4765.4915,1.66,bank_transfer,mtn_momo,DV00309,GB.112.196.81,completed,
T0006534,U00307,R00622,2026-01-02 07:17:59,539.7,GBP,1026275.11,NGN,1901.5749,5.4,debit_card,bank,DV00307,GB.9.48.212,failed,insufficient_funds
T0010455,U00476,R00976,2026-01-02 07:28:37,259.37,USD,33947.61,KES,130.8856,2.59,bank_transfer,bank,DV00476,US.212.54.160,completed,
T0012565,U00570,R01147,2026-01-02 07:33:52,164.44,GBP,782607.78,UGX,4759.2021,1.64,bank_transfer,airtel_money,DV00570,GB.24.211.80,failed,payout_provider_error
T0011368,U00519,R01056,2026-01-02 07:37:18,77.9,GBP,367105.08,UGX,4712.7614,0.78,debit_card,mtn_momo,DV00519,GB.137.18.107,completed,
T0014592,U00667,R01336,2026-01-02 07:49:30,443.48,USD,1146325.84,TZS,2584.8377,4.43,debit_card,mpesa,DV00667,US.130.78.10,completed,
T0007432,U00350,R00716,2026-01-02 07:51:15,47.13,GBP,896.25,GHS,19.0154,0.5,bank_transfer,bank,DV00350,GB.126.24.252,completed,
T0016961,U00773,R01562,2026-01-02 08:12:56,162.49,USD,424709.64,TZS,2613.714,1.62,debit_card,mpesa,DV00773,US.109.59.97,completed,
T0006991,U00330,R00673,2026-01-02 08:30:14,274.74,GBP,914613.43,TZS,3329.0252,2.75,debit_card,tigopesa,DV00330,GB.227.249.77,completed,
T0011914,U00544,R01099,2026-01-02 08:49:55,204.76,USD,307429.89,NGN,1501.4176,2.05,bank_transfer,bank,DV00544,US.161.245.154,completed,
T0015804,U00724,R01458,2026-01-02 08:55:41,121.1,GBP,574338.49,UGX,4742.588,1.21,apple_pay,mtn_momo,DV00724,GB.180.175.119,completed,
T0002761,U00132,R00277,2026-01-02 08:58:12,108.6,GBP,507024.37,UGX,4668.7092,1.09,bank_transfer,airtel_money,DV00132,GB.187.221.30,completed,
T0017021,U00777,R01572,2026-01-02 09:02:24,301.65,GBP,1407382.64,UGX,4665.5568,3.02,bank_transfer,airtel_money,DV00777,GB.117.48.180,completed,
T0005845,U00277,R00560,2026-01-02 09:14:46,413.25,USD,1524595.13,UGX,3689.2952,4.13,bank_transfer,mtn_momo,DV00277,US.81.252.66,completed,
T0004941,U00230,R00469,2026-01-02 09:16:24,53.43,EUR,86980.43,NGN,1627.7865,0.53,debit_card,bank,DV00230,DE.206.224.135,completed,
T0002374,U00116,R00248,2026-01-02 09:17:03,169.61,GBP,796513.85,UGX,4696.018,1.7,google_pay,mtn_momo,DV00116,GB.115.37.34,completed,
T0005385,U00253,R00513,2026-01-02 09:47:10,211.28,GBP,405459.22,NGN,1919.0298,2.11,bank_transfer,bank,DV00253,GB.159.14.148,completed,
T0017493,U00798,R01611,2026-01-02 09:49:12,196.96,USD,291097.93,NGN,1477.931,1.97,bank_transfer,bank,DV00798,US.218.14.161,completed,
T0000684,U00037,R00085,2026-01-02 10:07:18,626.71,USD,9358.52,GHS,14.9327,6.27,debit_card,bank,DV00037,US.99.246.151,completed,
T0002324,U00114,R00243,2026-01-02 10:08:10,245.84,USD,644350.13,TZS,2621.0465,2.46,bank_transfer,mpesa,DV00114,US.245.198.193,completed,
T0015476,U00707,R01420,2026-01-02 10:29:50,186.47,GBP,615265.23,TZS,3299.4869,1.86,debit_card,tigopesa,DV00707,GB.237.84.32,completed,
T0015830,U00726,R01463,2026-01-02 10:30:10,149.7,GBP,286888.53,NGN,1916.4381,1.5,apple_pay,bank,DV00726,GB.96.62.39,completed,
T0011729,U00535,R01081,2026-01-02 10:37:55,217.28,EUR,357051.08,NGN,1643.2387,2.17,debit_card,bank,DV00535,DE.204.158.35,completed,
T0016391,U00748,R01511,2026-01-02 10:55:29,183.81,GBP,30616.36,KES,166.5633,1.84,bank_transfer,bank,DV00748,GB.154.213.168,completed,
T0005667,U00266,R00542,2026-01-02 11:11:47,736.6,EUR,2040566.1,TZS,2770.2685,7.37,debit_card,tigopesa,DV00266,DE.53.214.174,completed,
T0011164,U00508,R01035,2026-01-02 11:18:32,314.97,USD,1151747.83,UGX,3656.7008,3.15,debit_card,mtn_momo,DV00508,US.161.185.15,completed,
T0010068,U00461,R00950,2026-01-02 11:30:04,74.66,GBP,12320.83,KES,165.0362,0.75,debit_card,bank,DV00461,GB.42.8.146,completed,
T0001859,U00093,R00194,2026-01-02 11:45:40,322.73,GBP,604061.66,NGN,1871.7137,3.23,debit_card,bank,DV00093,GB.18.148.216,completed,
T0005087,U00239,R00492,2026-01-02 11:49:42,214.32,GBP,35529.53,KES,165.7813,2.14,debit_card,bank,DV00239,GB.120.175.68,completed,
T0013324,U00603,R01221,2026-01-02 11:55:47,136.19,GBP,2578.26,GHS,18.931,1.36,apple_pay,mtn_momo,DV00603,GB.186.140.52,completed,
T0009297,U00426,R00880,2026-01-02 12:12:58,151.61,EUR,246622.1,NGN,1626.7386,1.52,debit_card,bank,DV00426,DE.82.38.66,completed,
T0011442,U00523,R01063,2026-01-02 12:27:23,191.97,GBP,365247.26,NGN,1902.6734,1.92,debit_card,bank,DV00523,GB.223.22.156,completed,
T0012392,U00563,R01136,2026-01-02 12:37:47,297.71,EUR,833589.66,TZS,2799.976,2.98,bank_transfer,tigopesa,DV00563,DE.172.64.119,completed,
T0004346,U00203,R00424,2026-01-02 12:43:28,187.69,GBP,889566.77,UGX,4739.4434,1.88,bank_transfer,mtn_momo,DV00203,GB.111.2.88,completed,
T0016739,U00762,R01540,2026-01-02 13:14:32,248.31,GBP,814726.51,TZS,3281.0877,2.48,google_pay,mpesa,DV00762,GB.157.249.198,completed,
T0007923,U00369,R00754,2026-01-02 13:15:39,117.95,GBP,385045.71,TZS,3264.4696,1.18,apple_pay,tigopesa,DV00369,GB.149.132.235,completed,
T0009443,U00433,R00894,2026-01-02 13:16:37,210.0,USD,3104.42,GHS,14.7831,2.1,debit_card,mtn_momo,DV00433,US.216.34.12,completed,
T0005665,U00266,R00541,2026-01-02 13:19:53,744.88,EUR,2104520.01,TZS,2825.3072,7.45,debit_card,tigopesa,DV00266,DE.186.75.205,completed,
T0014033,U00638,R01280,2026-01-02 13:28:04,211.05,USD,26941.99,KES,127.6589,2.11,bank_transfer,mpesa,DV00638,US.163.184.29,completed,
T0003972,U00186,R00389,2026-01-02 13:36:15,131.29,USD,194852.81,NGN,1484.1175,1.31,apple_pay,bank,DV00186,US.114.130.25,failed,card_declined
T0017098,U00781,R01578,2026-01-02 14:05:09,227.57,GBP,37399.37,KES,164.3455,2.28,apple_pay,mpesa,DV00781,GB.26.239.15,completed,
T0001516,U00075,R00160,2026-01-02 14:07:46,282.24,GBP,528868.17,NGN,1873.8072,2.82,apple_pay,bank,DV00075,GB.151.14.202,completed,
T0006810,U00320,R00655,2026-01-02 14:15:26,101.54,GBP,337079.87,TZS,3319.5751,1.02,bank_transfer,tigopesa,DV00320,GB.40.105.189,completed,
T0010632,U00485,R00996,2026-01-02 14:16:04,214.67,EUR,30377.03,KES,141.5026,2.15,bank_transfer,bank,DV00485,DE.99.188.24,completed,
T0011346,U00518,R01052,2026-01-02 14:23:25,129.41,EUR,2166.95,GHS,16.7451,1.29,debit_card,mtn_momo,DV00518,DE.64.155.151,failed,card_declined
T0007836,U00366,R00748,2026-01-02 14:31:11,71.39,USD,108499.78,NGN,1519.8013,0.71,apple_pay,bank,DV00366,US.243.145.222,completed,
T0012809,U00579,R01168,2026-01-02 14:44:01,248.71,USD,377467.59,NGN,1517.7194,2.49,apple_pay,bank,DV00579,US.20.35.17,completed,
T0009608,U00439,R00902,2026-01-02 14:48:44,352.01,USD,5299.77,GHS,15.0559,3.52,apple_pay,mtn_momo,DV00439,US.223.137.192,completed,
T0013078,U00594,R01201,2026-01-02 15:00:01,76.92,EUR,217788.41,TZS,2831.4615,0.77,apple_pay,mpesa,DV00594,DE.57.43.105,completed,
T0012592,U00571,R01149,2026-01-02 15:03:01,274.28,GBP,1278599.31,UGX,4661.587,2.74,debit_card,airtel_money,DV00571,GB.1.218.99,completed,
T0007560,U00354,R00723,2026-01-02 15:49:09,376.23,GBP,710709.66,NGN,1889.04,3.76,debit_card,bank,DV00354,GB.19.8.83,completed,
T0008541,U00394,R00819,2026-01-02 16:11:17,190.99,USD,24896.07,KES,130.3526,1.91,debit_card,mpesa,DV00394,US.140.226.41,completed,
T0007875,U00367,R00749,2026-01-02 16:15:40,153.69,GBP,289684.27,NGN,1884.8838,1.54,debit_card,bank,DV00367,GB.12.183.198,completed,
T0016655,U00759,R01532,2026-01-02 16:18:03,119.74,USD,1784.74,GHS,14.9052,1.2,bank_transfer,mtn_momo,DV00759,US.51.202.131,completed,
T0010688,U00487,R00999,2026-01-02 16:39:09,226.84,GBP,1074154.31,UGX,4735.2471,2.27,bank_transfer,airtel_money,DV00487,GB.165.231.114,completed,
T0014920,U00683,R01373,2026-01-02 16:47:17,638.36,GBP,1204617.56,NGN,1887.0472,6.38,bank_transfer,bank,DV00683,GB.93.214.181,completed,
T0001557,U00077,R00163,2026-01-02 17:01:10,349.58,EUR,5822.39,GHS,16.6554,3.5,bank_transfer,bank,DV00077,DE.71.94.26,completed,
T0004036,U00188,R00393,2026-01-02 17:05:20,109.58,USD,1629.05,GHS,14.866,1.1,bank_transfer,bank,DV00188,US.195.83.170,completed,
T0003978,U00187,R00392,2026-01-02 17:05:55,220.68,USD,3336.93,GHS,15.121,2.21,google_pay,bank,DV00187,US.79.64.31,completed,
T0005608,U00264,R00535,2026-01-02 17:09:50,112.94,GBP,18426.01,KES,163.1479,1.13,apple_pay,mpesa,DV00264,GB.155.203.226,completed,
T0001340,U00068,R00148,2026-01-02 17:13:41,126.25,GBP,411390.99,TZS,3258.5499,1.26,bank_transfer,mpesa,DV00068,GB.106.188.245,completed,
T0010209,U00466,R00960,2026-01-02 17:23:34,262.94,USD,3960.33,GHS,15.0615,2.63,google_pay,bank,DV00466,US.8.67.141,completed,
